                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.01879,                 3.7903,                      0,                 1.1654,                 1.7447,                  0.355,                 0.4487,                0.28226,                0.06929,                 0.0643,                0.53152,                0.05748,                0.02043,                    nan,                    nan,                      0,                    nan,                    nan,               0.000886,               0.000886,               0.000886
                     25,                0.01817,                 3.6964,                      0,                 1.1475,                 1.6925,                0.31302,                 0.6131,                0.25567,                0.07116,                0.03956,                0.37083,                0.03516,                0.01144,                    nan,                    nan,                      0,                    nan,                    nan,             0.00092126,             0.00092126,             0.00092126
                     26,                0.01868,                 3.2975,                      0,                  1.183,                 1.7748,                0.41617,                0.37577,                0.20472,                0.06901,                0.03873,                 0.3424,                0.03266,                0.01317,                    nan,                    nan,                      0,                    nan,                    nan,             0.00095631,             0.00095631,             0.00095631
                     27,                 0.0172,                  2.985,                      0,                 1.1192,                 1.7883,                0.39522,                0.76514,                0.41228,                0.15471,                0.01638,                0.18789,                0.00977,                0.00465,                  0.016,                 8.9543,                      0,                 7.8186,                 1.9006,             0.00099117,             0.00099117,             0.00099117
                     28,                0.01697,                 2.8777,                      0,                 1.1406,                 1.7177,                0.33686,                0.62917,                0.32165,                 0.1122,                0.03417,                0.29295,                 0.0215,                 0.0087,                0.01696,                 8.9968,                      0,                 11.567,                 2.2412,              0.0010258,              0.0010258,              0.0010258
                     29,                0.01639,                 3.8062,                      0,                 1.1424,                 1.6194,                0.12841,                0.86032,                0.14144,                0.05111,                0.00254,                0.02596,                0.00131,                0.00059,                0.01716,                 9.4245,                      0,                    inf,                 5.8047,              0.0010603,              0.0010603,              0.0010603
                     30,                0.01744,                  3.993,                      0,                 1.0959,                 1.9642,                0.11045,                0.92089,                 0.1188,                0.03873,                0.00241,                0.02349,                0.00116,                0.00044,                0.01793,                 9.5477,                      0,                    nan,                 10.021,              0.0010945,              0.0010945,              0.0010945
                     31,                0.01812,                 3.3072,                      0,                 1.1689,                 1.7017,                0.23433,                0.70705,                0.22021,                0.06945,                0.00737,                0.06922,                0.00396,                0.00149,                    nan,                    nan,                      0,                    nan,                    nan,              0.0011286,              0.0011286,              0.0011286
                     32,                 0.0174,                 2.8696,                      0,                 1.1721,                  1.751,                0.29807,                0.45859,                0.25547,                0.07321,                0.03946,                0.35352,                0.02827,                0.01158,                    nan,                    nan,                      0,                    nan,                    nan,              0.0011624,              0.0011624,              0.0011624
                     33,                0.01726,                 2.5741,                      0,                 1.1707,                 1.6497,                0.15611,                0.36094,                0.16083,                0.05182,                0.02516,                0.29419,                 0.0166,                0.00706,                    nan,                    nan,                      0,                    nan,                    nan,              0.0011961,              0.0011961,              0.0011961
