                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.00986,                 1.6629,                      0,                0.80295,                 1.0058,                0.87014,                0.88302,                0.91085,                0.55453,                0.83998,                0.82611,                0.83473,                0.55768,                0.00926,                 1.6284,                      0,                0.84217,                 1.1017,               0.001916,               0.001916,               0.001916
                     24,                0.01004,                 1.7732,                      0,                0.80088,                 1.0066,                 0.8825,                0.90806,                0.92417,                0.58965,                0.83565,                 0.8476,                0.84146,                0.46147,                0.00881,                 2.0635,                      0,                0.79752,                 1.0943,               0.001912,               0.001912,               0.001912
                     25,                 0.0099,                 1.9862,                      0,                0.80215,                 1.0296,                0.86073,                0.89636,                0.92486,                0.55371,                0.83625,                0.85432,                0.85912,                0.61305,                0.00962,                 1.5114,                      0,                0.87385,                  1.108,               0.001908,               0.001908,               0.001908
                     26,                0.01006,                 1.7203,                      0,                0.80907,                 1.0063,                0.79895,                0.82152,                0.85137,                0.36168,                 0.8055,                0.83458,                 0.8364,                0.57683,                0.01364,                 1.7025,                      0,                 1.0626,                 1.2889,               0.001904,               0.001904,               0.001904
                     27,                0.01009,                 1.6147,                      0,                 0.8219,                 1.0031,                0.90429,                0.92221,                 0.9387,                0.59853,                0.86138,                0.86437,                0.84784,                0.56563,                0.00855,                 1.5825,                      0,                0.74139,                 1.0712,              0.0019001,              0.0019001,              0.0019001
                     28,                0.01013,                 1.7139,                      0,                0.81081,                0.99008,                0.88653,                0.92248,                0.94272,                0.62541,                0.83701,                0.86635,                 0.8588,                0.55589,                 0.0082,                 1.6394,                      0,                0.76634,                 1.0487,              0.0018961,              0.0018961,              0.0018961
                     29,                0.00959,                  1.476,                      0,                0.79175,                0.96539,                0.91107,                0.94224,                0.94979,                0.63412,                 0.8765,                0.88864,                0.87733,                0.61391,                0.00784,                 1.2482,                      0,                0.72451,                 1.0265,              0.0018921,              0.0018921,              0.0018921
                     30,                0.00925,                 1.3931,                      0,                0.75768,                0.96094,                0.93096,                0.94392,                0.95754,                 0.6645,                0.90364,                 0.9066,                0.91223,                0.68354,                0.00764,                  1.139,                      0,                0.66887,                 1.0159,              0.0018881,              0.0018881,              0.0018881
                     31,                0.00924,                 1.3493,                      0,                0.77213,                0.95413,                 0.9047,                 0.9267,                0.94571,                0.63495,                0.86898,                0.87059,                0.87932,                0.50748,                0.00819,                 1.7787,                      0,                0.69457,                 1.0581,              0.0018841,              0.0018841,              0.0018841
                     32,                0.00945,                 1.5408,                      0,                0.75501,                0.96082,                0.92015,                0.93098,                0.95514,                0.58747,                0.87826,                0.88481,                0.87649,                0.59662,                0.00961,                  1.555,                      0,                0.80335,                 1.0747,              0.0018801,              0.0018801,              0.0018801
                     33,                 0.0092,                 1.7255,                      0,                0.76282,                 0.9694,                0.90568,                0.93986,                0.95585,                0.61972,                0.86791,                0.89508,                0.89629,                 0.6455,                 0.0087,                 1.2751,                      0,                0.72434,                 1.0875,              0.0018761,              0.0018761,              0.0018761
                     34,                0.00936,                 1.5555,                      0,                0.76201,                0.96761,                0.87668,                0.91221,                0.92791,                0.60148,                0.82797,                0.85066,                0.83169,                0.60961,                0.00824,                 1.8331,                      0,                 0.8668,                 1.1021,              0.0018721,              0.0018721,              0.0018721
                     35,                0.00946,                 1.4266,                      0,                0.76943,                0.95508,                0.92677,                0.93603,                0.95776,                0.63061,                0.87909,                0.87827,                 0.8748,                0.50085,                0.00824,                 1.8325,                      0,                0.74046,                 1.0418,              0.0018681,              0.0018681,              0.0018681
                     36,                 0.0092,                  1.445,                      0,                0.76101,                 0.9583,                0.92463,                0.94955,                0.95702,                0.65312,                0.89751,                0.91716,                0.91301,                0.71091,                 0.0077,                  1.053,                      0,                0.69088,                 1.0205,              0.0018641,              0.0018641,              0.0018641
                     37,                0.00882,                 1.2017,                      0,                 0.7272,                0.92743,                0.90466,                0.93566,                0.93857,                0.63847,                0.86985,                0.87953,                0.86743,                0.64637,                0.00783,                 1.3481,                      0,                0.74013,                 1.0384,              0.0018601,              0.0018601,              0.0018601
                     38,                0.00891,                 1.3549,                      0,                 0.7329,                0.93171,                0.93288,                0.94498,                0.96073,                0.69386,                0.90156,                0.90065,                0.90416,                0.59423,                 0.0073,                 1.4982,                      0,                0.64326,                0.97999,              0.0018561,              0.0018561,              0.0018561
                     39,                0.00893,                 1.3685,                      0,                0.72464,                0.95267,                0.89895,                0.91061,                0.94088,                0.64113,                0.86095,                0.84573,                0.85765,                0.63399,                0.00783,                 1.6099,                      0,                0.73586,                 1.0833,              0.0018521,              0.0018521,              0.0018521
                     40,                0.00915,                 1.3683,                      0,                 0.7448,                0.94156,                0.93458,                0.92762,                0.95505,                0.65229,                0.88905,                0.87571,                0.87638,                0.64961,                0.00803,                 1.5004,                      0,                0.73875,                 1.0663,              0.0018481,              0.0018481,              0.0018481
                     41,                0.00864,                 1.2396,                      0,                0.71783,                0.91111,                0.93609,                0.94767,                0.96995,                0.70395,                0.90001,                0.90651,                0.90579,                0.62602,                 0.0071,                 1.3734,                      0,                0.65123,                0.98101,              0.0018441,              0.0018441,              0.0018441
                     42,                0.00901,                 1.2808,                      0,                0.72611,                0.92878,                0.94214,                 0.9405,                0.96715,                 0.7023,                0.91385,                0.91099,                0.92263,                0.69172,                0.00712,                 1.1593,                      0,                0.63666,                0.97675,              0.0018401,              0.0018401,              0.0018401
                     43,                0.00896,                 1.2207,                      0,                0.73864,                0.93051,                 0.8765,                 0.8899,                0.91377,                 0.5453,                0.85952,                 0.8662,                0.88017,                0.58965,                0.00866,                 1.2232,                      0,                0.76015,                 1.0772,              0.0018361,              0.0018361,              0.0018361
                     44,                0.00899,                 1.2582,                      0,                0.74123,                0.94232,                0.92704,                0.94535,                0.95061,                0.66423,                0.90446,                0.91245,                0.91291,                0.64009,                0.00741,                 1.3782,                      0,                0.70928,                0.97683,              0.0018321,              0.0018321,              0.0018321
                     45,                 0.0087,                 1.1874,                      0,                0.72077,                0.92335,                 0.9192,                0.94864,                0.95305,                0.68662,                0.89454,                0.91226,                0.90773,                0.68021,                 0.0071,                  1.128,                      0,                0.66585,                0.95488,              0.0018281,              0.0018281,              0.0018281
                     46,                0.00861,                 1.0649,                      0,                0.71374,                0.91263,                0.93568,                0.94663,                0.96743,                0.65014,                0.90459,                0.91318,                0.92371,                0.73534,                0.00787,                 1.0603,                      0,                0.66087,                 1.0026,              0.0018241,              0.0018241,              0.0018241
                     47,                 0.0087,                 1.0727,                      0,                0.72485,                0.91252,                0.92965,                0.94644,                0.96117,                0.68015,                0.90461,                0.91446,                0.91843,                0.74062,                0.00757,                 1.0499,                      0,                 0.6736,                0.97442,              0.0018201,              0.0018201,              0.0018201
                     48,                0.00837,                 1.1533,                      0,                0.70108,                0.91058,                0.91037,                0.93657,                 0.9615,                0.70827,                0.88225,                0.88743,                0.89901,                0.74039,                0.00691,                 1.1549,                      0,                0.68498,                 1.0031,              0.0018161,              0.0018161,              0.0018161
                     49,                0.00821,                 1.0508,                      0,                0.68684,                0.91374,                0.93447,                0.95942,                0.96398,                0.68127,                0.91697,                0.93259,                0.93157,                0.77929,                0.00743,                0.86882,                      0,                 0.6444,                0.98026,              0.0018121,              0.0018121,              0.0018121
                     50,                0.00835,                 1.0143,                      0,                0.69214,                0.90744,                0.93983,                0.93644,                0.95843,                0.68071,                0.91744,                0.91683,                0.93038,                0.72176,                0.00742,                 1.0502,                      0,                0.64711,                 0.9771,              0.0018081,              0.0018081,              0.0018081
                     51,                0.00849,                 1.0619,                      0,                0.69193,                 0.9015,                0.93681,                0.95109,                0.96467,                0.67989,                0.91927,                0.92822,                0.93258,                0.77221,                0.00736,                0.84769,                      0,                0.68571,                 0.9548,              0.0018041,              0.0018041,              0.0018041
                     52,                0.00873,                 1.0116,                      0,                0.72784,                0.91531,                0.93861,                0.95321,                 0.9592,                0.61418,                0.91926,                0.92268,                0.92335,                0.74656,                0.00891,                0.94068,                      0,                0.66607,                 1.0176,              0.0018001,              0.0018001,              0.0018001
                     53,                0.00827,                0.91061,                      0,                0.69704,                0.90119,                 0.9501,                 0.9606,                0.96723,                0.72105,                0.93084,                 0.9353,                0.94017,                0.79227,                0.00686,                0.76035,                      0,                0.59734,                0.93628,              0.0017961,              0.0017961,              0.0017961
                     54,                0.00827,                0.99483,                      0,                0.69568,                0.89179,                0.94429,                0.96162,                0.96754,                0.70798,                 0.9309,                0.94069,                0.94117,                0.82108,                0.00684,                0.75146,                      0,                0.60747,                0.94512,              0.0017921,              0.0017921,              0.0017921
                     55,                0.00794,                0.93108,                      0,                0.66478,                0.88797,                0.93543,                0.95339,                0.96037,                 0.6334,                0.91783,                0.92963,                0.93015,                0.76732,                0.00805,                 1.0044,                      0,                 0.6876,                 0.9658,              0.0017881,              0.0017881,              0.0017881
                     56,                0.00881,                 1.0322,                      0,                0.73086,                0.91326,                0.94402,                0.96165,                0.97111,                0.70273,                0.92684,                0.94023,                0.93686,                0.68021,                0.00706,                 1.0872,                      0,                0.63513,                0.97361,              0.0017841,              0.0017841,              0.0017841
                     57,                0.00827,                 0.9998,                      0,                0.69497,                0.88956,                0.94052,                 0.9537,                0.96993,                0.70283,                0.92391,                0.93209,                0.93562,                0.80964,                0.00702,                0.81621,                      0,                0.61469,                0.95991,              0.0017801,              0.0017801,              0.0017801
                     58,                0.00805,                0.92455,                      0,                0.68146,                0.88094,                0.95125,                  0.966,                0.97415,                0.70281,                0.93457,                0.94516,                0.94547,                0.78364,                0.00709,                 0.8028,                      0,                0.64316,                0.94971,              0.0017761,              0.0017761,              0.0017761
                     59,                0.00807,                 0.9658,                      0,                0.68436,                0.89052,                0.94682,                0.96333,                0.96828,                0.71046,                0.93337,                0.94517,                0.94417,                0.75402,                0.00693,                0.92013,                      0,                0.61163,                0.92946,              0.0017721,              0.0017721,              0.0017721
                     60,                 0.0079,                0.96139,                      0,                0.66937,                0.87664,                0.94072,                0.96006,                0.96659,                0.72886,                 0.9259,                0.94102,                0.94435,                0.81382,                0.00666,                0.83236,                      0,                0.58548,                0.92896,              0.0017681,              0.0017681,              0.0017681
                     61,                 0.0078,                 1.0082,                      0,                0.67082,                0.88502,                 0.9431,                0.94443,                0.97033,                0.74264,                0.92757,                0.92597,                0.94091,                0.82783,                0.00648,                0.81059,                      0,                0.59999,                0.94225,              0.0017641,              0.0017641,              0.0017641
                     62,                0.00771,                 0.9727,                      0,                0.66172,                0.88726,                0.94792,                0.95816,                0.97214,                0.74278,                0.93778,                0.94462,                0.95283,                0.83384,                0.00646,                0.76748,                      0,                0.58975,                0.92338,              0.0017601,              0.0017601,              0.0017601
                     63,                0.00733,                0.89735,                      0,                0.63668,                0.87205,                0.94952,                0.96417,                0.97816,                0.75457,                0.93474,                0.94882,                  0.955,                0.84943,                0.00638,                0.70683,                      0,                0.58755,                0.92132,              0.0017561,              0.0017561,              0.0017561
                     64,                0.00757,                0.81641,                      0,                0.64954,                0.86893,                0.91922,                0.94015,                0.96241,                0.72444,                0.90787,                0.92488,                0.93607,                 0.7881,                 0.0067,                0.84829,                      0,                0.62623,                0.92446,              0.0017521,              0.0017521,              0.0017521
                     65,                0.00771,                0.87046,                      0,                0.65395,                0.87765,                0.94935,                0.96417,                0.97081,                0.70193,                0.93721,                0.95193,                0.95062,                 0.8099,                0.00705,                0.83873,                      0,                0.59972,                0.92399,              0.0017481,              0.0017481,              0.0017481
                     66,                0.00839,                0.86173,                      0,                0.69556,                0.90746,                0.94456,                0.96564,                0.96944,                0.66431,                0.93741,                0.95833,                0.95444,                 0.8247,                0.00763,                0.72577,                      0,                0.61816,                 0.9568,              0.0017441,              0.0017441,              0.0017441
                     67,                0.00769,                0.91137,                      0,                0.66146,                0.88515,                0.95337,                0.97203,                0.97509,                0.75933,                0.94648,                0.95723,                0.95877,                0.85604,                0.00607,                0.59353,                      0,                 0.5526,                0.89855,              0.0017401,              0.0017401,              0.0017401
                     68,                0.00746,                0.82403,                      0,                0.65581,                0.86166,                 0.9535,                0.96399,                0.97528,                0.77551,                0.94113,                 0.9501,                0.95314,                 0.8382,                0.00579,                 0.6491,                      0,                0.55794,                0.89361,              0.0017361,              0.0017361,              0.0017361
                     69,                0.00724,                 0.7905,                      0,                0.63414,                 0.8668,                0.94982,                0.96948,                0.97881,                0.76891,                0.93531,                0.95396,                0.95447,                0.81865,                0.00611,                0.75735,                      0,                 0.5618,                0.88715,              0.0017321,              0.0017321,              0.0017321
                     70,                0.00726,                0.96516,                      0,                0.63115,                0.87079,                0.94916,                0.96728,                0.97479,                0.74514,                0.93934,                0.95467,                0.95745,                0.85944,                0.00622,                0.61887,                      0,                0.57169,                0.90573,              0.0017281,              0.0017281,              0.0017281
                     71,                0.00755,                0.73076,                      0,                0.64133,                0.86504,                0.87923,                0.95276,                0.94496,                0.67701,                0.87173,                0.93968,                0.92775,                  0.827,                0.00699,                0.68343,                      0,                0.67562,                0.91662,              0.0017241,              0.0017241,              0.0017241
                     72,                0.00737,                0.75556,                      0,                0.64582,                0.86166,                 0.9448,                 0.9604,                0.97332,                0.74944,                0.93435,                0.94436,                0.95249,                0.84939,                0.00623,                0.69162,                      0,                0.58014,                0.89548,              0.0017201,              0.0017201,              0.0017201
                     73,                0.00744,                0.67466,                      0,                0.64961,                0.87627,                 0.9513,                0.97075,                0.97349,                0.76974,                0.94146,                0.96121,                0.95663,                0.86278,                0.00578,                0.58946,                      0,                0.55225,                 0.8769,              0.0017161,              0.0017161,              0.0017161
                     74,                0.00737,                0.71205,                      0,                0.63755,                0.85545,                0.95483,                0.96838,                0.97245,                0.75784,                0.94767,                0.95655,                0.95695,                0.86661,                0.00594,                0.56557,                      0,                0.56327,                0.88487,              0.0017121,              0.0017121,              0.0017121
                     75,                0.00754,                0.65504,                      0,                0.65075,                0.86509,                0.94695,                 0.9671,                0.97204,                0.71867,                0.93696,                0.95449,                0.95212,                 0.8482,                0.00674,                0.70014,                      0,                0.59611,                0.93214,              0.0017081,              0.0017081,              0.0017081
                     76,                0.00719,                 0.7554,                      0,                 0.6337,                0.86854,                0.95576,                0.96351,                0.97304,                0.78062,                0.94532,                0.95107,                0.95276,                  0.828,                0.00558,                0.75667,                      0,                0.53547,                0.89133,              0.0017041,              0.0017041,              0.0017041
                     77,                0.00677,                0.69125,                      0,                0.61328,                0.86003,                0.94896,                0.94864,                0.96818,                0.76948,                0.93631,                0.92702,                0.93967,                0.84857,                0.00575,                0.73893,                      0,                0.58246,                0.91427,              0.0017002,              0.0017002,              0.0017002
                     78,                0.00717,                 0.7082,                      0,                0.63168,                0.86951,                0.93967,                0.95138,                0.97118,                0.69663,                 0.9276,                0.93672,                0.94339,                0.84958,                0.00713,                0.80285,                      0,                0.66732,                0.94285,              0.0016962,              0.0016962,              0.0016962
                     79,                0.00712,                0.65155,                      0,                0.63189,                0.86274,                0.94971,                0.96034,                0.97323,                0.75508,                 0.9433,                0.94265,                0.95355,                0.86646,                0.00618,                0.72848,                      0,                0.57438,                0.90408,              0.0016922,              0.0016922,              0.0016922
                     80,                0.00743,                0.80794,                      0,                0.64642,                0.86648,                 0.9524,                0.97039,                0.97042,                0.73751,                0.94182,                0.95961,                0.95339,                 0.8491,                 0.0061,                0.62052,                      0,                0.55995,                0.88369,              0.0016882,              0.0016882,              0.0016882
                     81,                0.00758,                0.82018,                      0,                0.65971,                 0.8856,                0.92557,                 0.9554,                0.96199,                0.67284,                  0.918,                0.94389,                0.94525,                0.81604,                0.00747,                0.75867,                      0,                 0.6583,                0.92153,              0.0016842,              0.0016842,              0.0016842
                     82,                0.00712,                0.83068,                      0,                0.63241,                0.87236,                0.94959,                0.97096,                0.97457,                0.78113,                0.93907,                0.95787,                0.95664,                 0.8618,                0.00561,                0.61787,                      0,                0.55076,                 0.8809,              0.0016802,              0.0016802,              0.0016802
                     83,                0.00695,                0.72175,                      0,                0.62464,                0.85727,                0.95226,                0.96243,                0.97354,                0.75413,                0.94157,                0.95146,                 0.9529,                0.80414,                0.00612,                0.84562,                      0,                0.58298,                 0.8993,              0.0016762,              0.0016762,              0.0016762
                     84,                0.00659,                 0.6846,                      0,                0.60286,                0.85938,                0.95859,                0.97328,                0.97912,                0.78539,                0.95076,                0.96341,                 0.9676,                0.89957,                0.00581,                0.55216,                      0,                0.53888,                0.87004,              0.0016722,              0.0016722,              0.0016722
                     85,                0.00695,                0.68408,                      0,                0.61816,                0.86496,                0.94528,                0.96984,                0.97507,                0.76933,                 0.9334,                0.95613,                0.95833,                0.85418,                0.00599,                0.69621,                      0,                0.57815,                 0.9029,              0.0016682,              0.0016682,              0.0016682
