                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.00793,                 1.7901,                      0,                0.63509,                0.87376,                0.95174,                0.96095,                0.98072,                0.72139,                0.94934,                0.95446,                0.97426,                0.85939,                0.00733,                0.70855,                      0,                0.58249,                0.80204,              0.0018901,              0.0018901,              0.0018901
                     25,                0.00797,                 1.6605,                      0,                0.63543,                0.87369,                0.95666,                0.96583,                0.98224,                0.74369,                0.95535,                0.95753,                0.97584,                0.87845,                0.00686,                0.67163,                      0,                0.55966,                0.79434,              0.0018851,              0.0018851,              0.0018851
                     26,                0.00799,                 1.7314,                      0,                0.64417,                0.87096,                0.95564,                0.96641,                0.98245,                 0.7252,                 0.9528,                0.96194,                0.97596,                0.81187,                0.00709,                0.74779,                      0,                0.58766,                0.79931,              0.0018801,              0.0018801,              0.0018801
                     27,                0.00789,                 1.6948,                      0,                0.62708,                0.87438,                0.95755,                0.95698,                0.98207,                0.72559,                0.95134,                0.94901,                0.97286,                0.85079,                0.00724,                0.70548,                      0,                 0.5747,                0.80691,              0.0018751,              0.0018751,              0.0018751
                     28,                0.00802,                  1.597,                      0,                 0.6378,                0.86638,                0.96089,                0.95754,                 0.9817,                0.73594,                0.95618,                0.94926,                0.97304,                0.84406,                0.00703,                0.70667,                      0,                0.57622,                0.80547,              0.0018701,              0.0018701,              0.0018701
                     29,                0.00793,                 1.7104,                      0,                0.63381,                0.86813,                 0.9464,                0.95569,                0.98183,                0.71947,                0.94559,                0.94962,                0.97549,                0.86921,                0.00739,                0.64807,                      0,                0.59142,                0.81158,              0.0018651,              0.0018651,              0.0018651
                     30,                0.00799,                 1.6991,                      0,                0.62909,                0.86925,                0.95215,                0.95569,                0.98053,                0.73374,                0.95071,                0.94678,                0.97346,                0.88584,                0.00704,                0.58485,                      0,                0.56698,                0.80187,              0.0018601,              0.0018601,              0.0018601
                     31,                0.00802,                 1.8371,                      0,                0.62595,                0.87217,                0.95483,                0.97003,                0.98072,                0.72536,                0.95226,                0.96455,                0.97483,                0.85272,                0.00712,                0.64292,                      0,                0.58498,                0.80389,              0.0018551,              0.0018551,              0.0018551
                     32,                0.00799,                 1.6454,                      0,                  0.636,                0.87228,                0.95581,                0.94374,                0.97689,                0.69202,                0.94981,                0.93694,                0.97044,                0.82433,                0.00762,                0.76238,                      0,                 0.6036,                0.81748,              0.0018501,              0.0018501,              0.0018501
                     33,                0.00781,                 1.6217,                      0,                 0.6312,                0.86998,                0.95789,                0.95937,                0.97668,                0.72378,                0.95405,                0.95532,                 0.9738,                0.87162,                0.00694,                0.63389,                      0,                0.56221,                0.81388,              0.0018451,              0.0018451,              0.0018451
                     34,                0.00812,                 1.6113,                      0,                0.64876,                0.88379,                0.94727,                0.94852,                0.97613,                0.65829,                0.94502,                0.94521,                 0.9708,                0.88447,                0.00816,                0.59106,                      0,                0.61262,                0.82365,              0.0018401,              0.0018401,              0.0018401
                     35,                0.00812,                 1.5509,                      0,                0.64522,                0.87079,                0.92721,                0.93442,                0.95753,                0.62873,                0.92969,                0.93951,                0.95916,                0.82141,                0.00864,                0.73534,                      0,                0.64042,                0.84706,              0.0018351,              0.0018351,              0.0018351
                     36,                0.00825,                 1.6785,                      0,                0.65694,                0.88243,                0.89441,                0.93234,                0.95526,                0.63054,                0.89221,                0.92609,                0.94485,                0.79597,                0.00831,                0.95718,                      0,                0.75465,                0.86874,              0.0018301,              0.0018301,              0.0018301
                     37,                0.00827,                 1.6842,                      0,                0.66632,                0.89107,                0.95027,                0.97003,                0.97758,                0.69161,                0.94897,                0.96411,                0.97309,                0.87699,                  0.008,                0.59765,                      0,                0.60569,                 0.8231,              0.0018251,              0.0018251,              0.0018251
                     38,                0.00797,                  1.556,                      0,                0.64808,                0.88411,                0.95126,                0.95624,                0.98061,                0.70425,                0.94778,                0.95312,                0.97516,                0.84284,                0.00754,                0.65922,                      0,                0.59788,                0.81113,              0.0018201,              0.0018201,              0.0018201
                     39,                0.00809,                 1.4745,                      0,                0.66329,                0.87563,                0.96021,                0.96273,                0.97959,                0.69963,                0.95593,                0.95721,                0.97416,                0.86676,                 0.0076,                0.57249,                      0,                0.58467,                0.82212,              0.0018151,              0.0018151,              0.0018151
                     40,                0.00789,                 1.5284,                      0,                0.64614,                0.87788,                0.95389,                0.96986,                0.98275,                0.68472,                0.95075,                0.96543,                0.97687,                0.83986,                0.00797,                0.68148,                      0,                0.58915,                0.80876,              0.0018101,              0.0018101,              0.0018101
                     41,                0.00763,                  1.376,                      0,                0.62527,                0.86434,                0.96068,                0.96985,                0.98426,                0.70698,                0.95898,                0.96562,                0.97821,                0.90347,                0.00733,                0.50598,                      0,                0.57517,                0.79997,              0.0018051,              0.0018051,              0.0018051
                     42,                0.00761,                  1.399,                      0,                0.63192,                0.87088,                0.95454,                0.97518,                0.98398,                 0.7387,                0.95172,                0.97297,                0.98017,                0.89153,                0.00688,                0.49472,                      0,                0.55528,                0.79088,              0.0018001,              0.0018001,              0.0018001
                     43,                0.00751,                 1.2708,                      0,                0.63128,                 0.8676,                0.95348,                0.96691,                0.98276,                0.69853,                0.95198,                0.96507,                0.97817,                0.90269,                0.00749,                0.44567,                      0,                0.58766,                0.81731,              0.0017951,              0.0017951,              0.0017951
                     44,                 0.0078,                 1.3014,                      0,                0.63461,                0.85795,                0.95981,                0.97683,                 0.9835,                0.72442,                0.95534,                0.97224,                0.97654,                0.90199,                0.00718,                0.46891,                      0,                0.56601,                0.79199,              0.0017901,              0.0017901,              0.0017901
                     45,                0.00749,                 1.2609,                      0,                0.61817,                  0.875,                0.94833,                0.95845,                0.98202,                0.70876,                0.94667,                0.95624,                0.97779,                 0.9071,                0.00755,                0.46858,                      0,                0.57956,                0.80159,              0.0017851,              0.0017851,              0.0017851
                     46,                0.00747,                 1.3337,                      0,                0.62361,                0.87031,                0.95409,                0.95863,                0.98336,                0.73979,                0.95383,                0.95335,                0.97848,                0.85775,                0.00692,                0.57621,                      0,                0.56255,                0.78863,              0.0017801,              0.0017801,              0.0017801
                     47,                0.00748,                  1.345,                      0,                0.62947,                0.87147,                0.95765,                0.96764,                0.98373,                0.70455,                0.95658,                0.96393,                0.97962,                0.90247,                0.00749,                0.51193,                      0,                0.59078,                0.78849,              0.0017751,              0.0017751,              0.0017751
                     48,                0.00755,                 1.2968,                      0,                0.62576,                0.85991,                0.95784,                0.97316,                0.98363,                0.75384,                0.95528,                0.97022,                0.97804,                0.88431,                0.00649,                0.49637,                      0,                0.54808,                0.77773,              0.0017701,              0.0017701,              0.0017701
                     49,                0.00727,                 1.2878,                      0,                 0.6201,                0.86596,                0.95664,                 0.9715,                0.98397,                0.71928,                0.95576,                0.97003,                0.98263,                0.90041,                0.00736,                0.42651,                      0,                0.57385,                0.80556,              0.0017651,              0.0017651,              0.0017651
                     50,                0.00746,                 1.2967,                      0,                0.62912,                0.87654,                0.95575,                0.96488,                0.98295,                0.72117,                 0.9552,                0.96415,                 0.9803,                0.86861,                0.00728,                0.52588,                      0,                0.60828,                0.81384,              0.0017601,              0.0017601,              0.0017601
                     51,                0.00751,                 1.4881,                      0,                0.64788,                0.87108,                0.95847,                0.97182,                 0.9832,                0.73014,                0.95734,                0.96558,                0.97848,                0.84881,                 0.0071,                0.59597,                      0,                0.56682,                0.80563,              0.0017551,              0.0017551,              0.0017551
                     52,                0.00753,                 1.2991,                      0,                0.63481,                0.85942,                 0.9402,                0.95966,                0.97735,                0.72547,                0.93549,                0.94377,                0.95935,                0.87035,                0.00698,                0.64489,                      0,                0.60497,                0.81401,              0.0017501,              0.0017501,              0.0017501
                     53,                0.00718,                 1.4017,                      0,                0.61297,                0.86807,                0.95604,                0.96755,                0.98283,                0.74723,                0.95295,                0.96442,                0.97905,                 0.8502,                0.00675,                0.60838,                      0,                0.56841,                0.79092,              0.0017451,              0.0017451,              0.0017451
                     54,                0.00736,                 1.3254,                      0,                0.63317,                0.86389,                0.95602,                0.97112,                0.98434,                0.72656,                0.95469,                0.96819,                0.98175,                0.91428,                 0.0069,                0.45295,                      0,                0.56073,                0.79517,              0.0017401,              0.0017401,              0.0017401
                     55,                0.00737,                 1.2431,                      0,                0.62236,                0.87359,                0.95191,                0.96432,                0.98233,                0.72735,                0.94916,                0.96101,                 0.9778,                0.89857,                 0.0071,                0.50735,                      0,                 0.5778,                 0.7968,              0.0017351,              0.0017351,              0.0017351
                     56,                 0.0073,                 1.3105,                      0,                0.61774,                0.86175,                0.95236,                0.95195,                0.97902,                0.72135,                 0.9485,                0.94809,                0.97412,                0.85039,                0.00721,                0.61204,                      0,                0.59948,                0.79859,              0.0017301,              0.0017301,              0.0017301
                     57,                0.00728,                 1.2229,                      0,                0.62912,                0.86419,                0.94769,                0.95263,                 0.9766,                 0.6906,                0.94122,                0.94539,                0.97033,                0.88215,                0.00766,                0.54756,                      0,                0.58474,                0.81831,              0.0017251,              0.0017251,              0.0017251
                     58,                0.00749,                 1.2703,                      0,                0.62566,                0.86318,                0.95895,                0.97492,                0.98304,                0.74916,                0.95655,                0.97133,                0.97898,                0.91306,                0.00653,                0.42895,                      0,                0.55562,                0.78929,              0.0017201,              0.0017201,              0.0017201
                     59,                0.00728,                 1.1985,                      0,                0.62429,                0.86438,                0.95855,                 0.9736,                0.98443,                0.75596,                0.95736,                 0.9715,                 0.9833,                0.92782,                0.00665,                0.39583,                      0,                0.55156,                 0.7742,              0.0017151,              0.0017151,              0.0017151
                     60,                0.00744,                 1.2758,                      0,                0.62966,                0.87265,                0.93633,                0.95551,                0.97696,                0.68786,                0.93538,                0.95541,                0.97339,                0.88312,                0.00779,                0.53456,                      0,                0.62006,                0.81717,              0.0017101,              0.0017101,              0.0017101
                     61,                 0.0074,                 1.1933,                      0,                0.61972,                0.86655,                0.95031,                0.96838,                  0.983,                0.63791,                0.94305,                0.96635,                0.97654,                 0.8997,                0.00907,                0.48942,                      0,                0.63527,                0.82613,              0.0017051,              0.0017051,              0.0017051
                     62,                0.00727,                 1.2942,                      0,                0.62095,                0.87442,                0.95779,                0.96819,                0.98427,                0.74051,                0.95391,                0.96268,                0.97942,                0.80035,                0.00688,                0.71097,                      0,                0.55644,                0.78286,              0.0017002,              0.0017002,              0.0017002
                     63,                0.00734,                 1.2755,                      0,                0.62531,                0.85894,                0.95683,                 0.9577,                0.98144,                0.74306,                0.95548,                0.95493,                0.97811,                0.89162,                0.00667,                0.47179,                      0,                0.56871,                0.78448,              0.0016952,              0.0016952,              0.0016952
