                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.00436,                0.56205,                      0,                0.50896,                 1.2134,                0.89239,                 0.8579,                0.90756,                0.76055,                0.88613,                0.85048,                0.89193,                0.75688,                0.00465,                 1.3766,                      0,                0.86349,                 1.3994,              0.0019161,              0.0019161,              0.0019161
                     24,                0.00432,                0.56391,                      0,                0.49002,                 1.1993,                0.87656,                0.89613,                0.92651,                0.79982,                 0.8849,                0.87239,                0.90808,                0.84072,                0.00428,                 1.1562,                      0,                0.78152,                 1.2912,              0.0019121,              0.0019121,              0.0019121
                     25,                 0.0042,                0.57947,                      0,                0.47351,                 1.1803,                0.84285,                 0.8685,                0.88939,                0.74706,                0.83749,                0.86214,                 0.8726,                0.81856,                 0.0047,                 1.0991,                      0,                0.89867,                 1.4111,              0.0019081,              0.0019081,              0.0019081
                     26,                0.00429,                0.56274,                      0,                 0.4706,                 1.1996,                 0.9173,                0.90138,                0.94862,                0.82799,                 0.9111,                0.88123,                0.93262,                0.90281,                0.00401,                 1.0541,                      0,                0.67302,                 1.2321,              0.0019041,              0.0019041,              0.0019041
                     27,                0.00415,                0.53699,                      0,                0.46105,                 1.1701,                 0.8771,                0.89304,                0.93069,                0.78862,                0.87902,                0.86638,                0.91365,                0.87987,                0.00419,                0.99899,                      0,                 0.7591,                 1.2534,              0.0019001,              0.0019001,              0.0019001
                     28,                0.00425,                0.52821,                      0,                0.46316,                 1.1759,                 0.8563,                0.87699,                0.92213,                0.75107,                0.86231,                0.87169,                0.90796,                0.87095,                 0.0052,                0.97508,                      0,                 1.0432,                 1.5811,              0.0018961,              0.0018961,              0.0018961
                     29,                0.00425,                0.55806,                      0,                 0.4705,                 1.1884,                0.85936,                0.90067,                0.92567,                0.79103,                0.86328,                0.87717,                0.91236,                0.88192,                0.00424,                 1.0094,                      0,                0.82733,                 1.2841,              0.0018921,              0.0018921,              0.0018921
                     30,                0.00412,                0.55067,                      0,                0.46175,                  1.158,                0.88456,                0.91012,                0.94276,                0.81763,                0.88529,                0.88865,                0.92749,                 0.9063,                 0.0041,                0.98796,                      0,                0.59498,                 1.2536,              0.0018881,              0.0018881,              0.0018881
                     31,                0.00388,                0.50233,                      0,                0.43688,                 1.1173,                0.89975,                0.90414,                0.95038,                0.82045,                0.90911,                 0.8592,                0.92761,                0.89253,                0.00416,                 1.0928,                      0,                0.53365,                 1.2709,              0.0018841,              0.0018841,              0.0018841
                     32,                0.00367,                0.51873,                      0,                0.41912,                 1.0961,                0.90006,                0.92638,                0.95915,                0.82293,                0.88438,                0.90562,                0.93835,                0.82796,                0.00427,                  1.165,                      0,                0.59003,                 1.3258,              0.0018801,              0.0018801,              0.0018801
