                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.01185,                 5.8022,                      0,                0.83047,                0.93858,                0.86698,                0.88409,                0.89937,                 0.5144,                0.51322,                0.48961,                0.34995,                0.08278,                0.01032,                 6.0558,                      0,                0.80268,                 1.0295,              0.0018601,              0.0018601,              0.0018601
                     24,                0.01161,                  5.758,                      0,                0.80458,                0.93995,                0.85403,                0.84168,                0.89995,                0.49819,                0.53942,                0.48656,                0.36845,                0.09904,                0.01084,                 5.9632,                      0,                0.87041,                 1.0352,              0.0018535,              0.0018535,              0.0018535
                     25,                0.01196,                 5.8225,                      0,                0.81159,                0.92559,                0.84878,                0.88886,                0.92356,                0.54816,                0.49226,                0.46435,                0.33752,                0.08208,                0.00961,                 5.8345,                      0,                0.80716,                0.97502,              0.0018468,              0.0018468,              0.0018468
                     26,                0.01154,                 5.6572,                      0,                0.78769,                0.88383,                0.90237,                0.92064,                0.93852,                0.55896,                0.54938,                0.52436,                0.38938,                 0.1013,                0.00972,                  5.608,                      0,                0.76511,                0.91785,              0.0018402,              0.0018402,              0.0018402
                     27,                0.01134,                 5.7352,                      0,                0.78963,                0.90612,                0.87607,                0.89556,                0.92624,                0.53077,                0.43337,                0.41849,                0.31055,                0.07252,                0.01018,                 5.8956,                      0,                0.78093,                 0.9351,              0.0018335,              0.0018335,              0.0018335
                     28,                0.01149,                 5.7092,                      0,                0.80117,                0.89106,                0.86255,                 0.8746,                 0.9046,                0.48764,                 0.5673,                0.54873,                0.42153,                0.14103,                0.01116,                 5.4931,                      0,                0.86445,                 0.9813,              0.0018268,              0.0018268,              0.0018268
                     29,                 0.0116,                 5.7095,                      0,                0.80103,                0.89984,                0.88967,                0.90953,                  0.935,                0.57475,                0.56984,                0.56628,                0.43397,                0.13563,                0.00958,                 5.5477,                      0,                0.75891,                0.92115,              0.0018202,              0.0018202,              0.0018202
                     30,                0.01144,                 5.6603,                      0,                0.78066,                0.89413,                0.88257,                0.89968,                0.92759,                0.51924,                0.59163,                0.58044,                0.43418,                0.15891,                0.01065,                 5.2572,                      0,                0.82176,                0.93383,              0.0018135,              0.0018135,              0.0018135
                     31,                0.01109,                  5.573,                      0,                0.78539,                0.89706,                0.85515,                0.86134,                0.88371,                0.44632,                0.55559,                0.54066,                0.38998,                0.12158,                0.01188,                 5.5833,                      0,                0.84601,                 1.0286,              0.0018069,              0.0018069,              0.0018069
                     32,                0.01124,                 5.5727,                      0,                0.78327,                 0.8826,                0.90319,                0.91616,                0.94376,                0.57778,                0.60551,                0.59065,                0.44877,                0.17564,                0.00939,                 5.2121,                      0,                0.77366,                0.90018,              0.0018002,              0.0018002,              0.0018002
                     33,                0.01133,                 5.4199,                      0,                0.78428,                0.86241,                0.86312,                0.89162,                0.91416,                0.54949,                0.57784,                0.58115,                0.43931,                0.16206,                0.00984,                 5.2415,                      0,                 0.8133,                0.91195,              0.0017935,              0.0017935,              0.0017935
                     34,                0.01112,                 5.5889,                      0,                0.77896,                0.87747,                0.89773,                0.89789,                0.93057,                 0.5756,                0.56701,                0.55201,                0.42528,                0.12496,                0.00948,                 5.5477,                      0,                 0.7656,                0.93194,              0.0017869,              0.0017869,              0.0017869
                     35,                0.01116,                 5.6796,                      0,                 0.7789,                0.89895,                 0.8803,                0.90451,                0.92271,                0.49598,                 0.5876,                0.57637,                0.43468,                0.13808,                0.01103,                 5.4476,                      0,                 0.8529,                0.96334,              0.0017802,              0.0017802,              0.0017802
