                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.56331,                0.40303,                 0.4849,                 1.1175,                0.91654,                0.93533,                0.96166,                0.87122,                0.90734,                0.94742,                0.96286,                0.89539,                0.47616,                0.33918,                0.46047,                  1.089,              0.0019234,              0.0019234,              0.0019234
                     26,                0.53461,                0.41044,                0.48042,                 1.0874,                0.93336,                0.95735,                0.97609,                 0.8963,                0.93331,                0.95658,                0.97635,                0.91511,                0.41111,                0.27592,                0.44335,                 1.0324,              0.0019201,              0.0019201,              0.0019201
                     27,                0.52001,                0.45018,                0.47855,                 1.0775,                0.94183,                0.95337,                0.98155,                0.88483,                0.94287,                0.95442,                0.98175,                0.89165,                0.46228,                0.44069,                0.44535,                 1.0704,              0.0019168,              0.0019168,              0.0019168
                     28,                0.51057,                 0.4419,                 0.4569,                 1.0661,                0.93532,                0.95792,                0.97959,                0.90253,                 0.9337,                0.96109,                0.98028,                0.91899,                0.41908,                 0.3663,                0.40772,                 1.0299,              0.0019134,              0.0019134,              0.0019134
                     29,                0.49691,                 0.4459,                0.45724,                 1.0526,                0.93384,                0.94742,                0.97096,                0.87895,                0.93684,                0.94637,                0.97134,                0.88917,                0.45957,                0.41177,                0.45155,                 1.0807,              0.0019101,              0.0019101,              0.0019101
                     30,                  0.482,                0.40487,                 0.4492,                 1.0485,                0.95377,                0.94322,                0.97858,                0.88285,                0.95386,                0.94322,                0.97873,                 0.9239,                0.45994,                0.32403,                0.39807,                 1.0893,              0.0019068,              0.0019068,              0.0019068
                     31,                0.44876,                0.38031,                0.44057,                 1.0277,                0.94805,                0.95163,                 0.9829,                0.91492,                0.95022,                0.95373,                 0.9835,                 0.9428,                0.39714,                0.25624,                 0.3822,                  1.001,              0.0019034,              0.0019034,              0.0019034
                     32,                0.46507,                0.45686,                 0.4451,                 1.0294,                0.89052,                0.91523,                0.94473,                0.86554,                0.89421,                 0.9155,                0.94406,                0.84907,                0.42538,                0.67143,                0.49508,                 1.0336,              0.0019001,              0.0019001,              0.0019001
                     33,                0.47791,                0.41517,                0.43804,                 1.0395,                0.89828,                 0.9472,                0.95161,                0.85692,                0.89928,                0.94825,                0.95245,                  0.858,                0.45366,                0.56543,                0.49247,                 1.0916,              0.0018968,              0.0018968,              0.0018968
                     34,                0.46443,                0.35715,                0.42998,                 1.0294,                0.91074,                0.96564,                 0.9734,                0.90507,                0.91015,                 0.9674,                0.97335,                0.92795,                0.39075,                0.27982,                0.40401,                 1.0068,              0.0018934,              0.0018934,              0.0018934
                     35,                0.43542,                0.35968,                0.41555,                 1.0031,                0.93785,                0.95584,                0.97893,                0.91022,                0.93611,                0.96215,                0.97932,                0.93232,                0.38775,                0.27777,                0.36117,                0.99508,              0.0018901,              0.0018901,              0.0018901
                     36,                0.43684,                0.35507,                0.42519,                 1.0067,                0.94256,                0.93586,                0.97052,                0.91308,                0.94256,                0.93586,                0.97148,                 0.9154,                0.37193,                 0.3213,                0.39526,                0.98659,              0.0018868,              0.0018868,              0.0018868
                     37,                0.42817,                0.33817,                0.41588,                 0.9969,                0.93715,                0.96004,                0.98162,                0.91374,                0.94581,                0.95268,                0.98103,                0.92232,                0.36681,                0.34455,                0.35841,                0.98611,              0.0018835,              0.0018835,              0.0018835
                     38,                0.42841,                0.32714,                0.41872,                0.99234,                0.95949,                 0.9674,                0.98333,                0.91411,                0.95741,                 0.9653,                 0.9831,                0.94082,                0.39036,                0.25978,                0.35227,                  1.009,              0.0018801,              0.0018801,              0.0018801
                     39,                0.42614,                 0.3223,                0.40387,                0.99523,                0.92832,                0.93586,                0.96944,                0.90786,                0.93064,                 0.9453,                0.97265,                0.92466,                0.37287,                0.25544,                 0.3957,                0.98325,              0.0018768,              0.0018768,              0.0018768
                     40,                0.41927,                0.32797,                0.39947,                0.98335,                0.95372,                0.95058,                0.97694,                0.92889,                0.95372,                0.95058,                0.97674,                0.93674,                0.35761,                0.26874,                 0.3645,                0.97447,              0.0018735,              0.0018735,              0.0018735
                     41,                0.42803,                0.37672,                0.41079,                 0.9845,                0.95849,                0.91062,                0.96467,                 0.9046,                0.95804,                0.91244,                0.96673,                 0.8956,                0.38306,                0.39239,                0.40888,                 1.0156,              0.0018701,              0.0018701,              0.0018701
                     42,                0.40365,                0.34096,                0.39055,                0.97852,                0.95229,                0.88013,                0.94156,                  0.889,                0.95229,                0.88013,                0.94215,                0.87408,                0.37536,                0.38903,                0.47803,                  1.017,              0.0018668,              0.0018668,              0.0018668
                     43,                0.40968,                0.36901,                  0.404,                0.98235,                0.93645,                0.94742,                0.97625,                0.91744,                0.93645,                0.94742,                0.97659,                0.91759,                0.35214,                0.35753,                0.35839,                0.97005,              0.0018635,              0.0018635,              0.0018635
                     44,                0.42817,                0.33151,                0.39475,                0.98578,                0.96314,                0.94217,                0.97877,                0.92831,                0.96247,                0.94379,                0.97949,                0.93402,                0.34461,                0.26914,                0.34259,                0.95364,              0.0018601,              0.0018601,              0.0018601
                     45,                0.41126,                0.30603,                0.37769,                0.97579,                0.94555,                0.96773,                0.98421,                0.93954,                0.94555,                0.96773,                0.98403,                0.94777,                0.31489,                0.23886,                0.33865,                0.93677,              0.0018568,              0.0018568,              0.0018568
                     46,                0.40084,                0.32878,                0.38075,                0.96791,                0.96365,                 0.9632,                0.98839,                0.94481,                 0.9626,                0.96215,                0.98821,                0.95229,                0.33718,                0.26877,                0.31216,                0.94694,              0.0018535,              0.0018535,              0.0018535
                     47,                0.39459,                0.32905,                0.38003,                 0.9674,                 0.9538,                0.96004,                 0.9872,                0.95006,                0.95276,                0.95899,                0.98699,                0.94117,                0.30935,                0.32746,                0.31059,                0.92171,              0.0018502,              0.0018502,              0.0018502
                     48,                0.39326,                0.35145,                0.38128,                 0.9619,                0.96767,                0.96425,                 0.9887,                0.94154,                0.96767,                0.96425,                0.98871,                 0.9521,                0.32991,                0.27801,                0.31658,                 0.9482,              0.0018468,              0.0018468,              0.0018468
                     49,                0.38403,                0.32394,                0.38144,                0.95742,                0.96697,                 0.9653,                0.98844,                0.93985,                0.97232,                0.96047,                0.98828,                0.93949,                 0.3296,                0.27174,                0.32277,                0.94615,              0.0018435,              0.0018435,              0.0018435
                     50,                0.37018,                0.32551,                0.37392,                0.95461,                0.94012,                0.97406,                0.98251,                0.94582,                0.94117,                0.97565,                0.98289,                0.94021,                0.31483,                0.26162,                0.33876,                0.93537,              0.0018402,              0.0018402,              0.0018402
                     51,                 0.3668,                0.31207,                0.36751,                 0.9407,                 0.9382,                0.95784,                 0.9832,                 0.9429,                 0.9382,                0.95784,                0.98327,                0.94719,                0.29671,                0.23652,                0.34044,                 0.9149,              0.0018368,              0.0018368,              0.0018368
                     52,                0.37784,                0.33326,                0.37408,                0.95208,                0.94982,                0.97528,                0.98656,                0.94694,                 0.9488,                0.97423,                0.98636,                0.94786,                 0.3026,                0.24842,                 0.3111,                0.91814,              0.0018335,              0.0018335,              0.0018335
                     53,                 0.3712,                0.31743,                0.36654,                0.94937,                0.96224,                0.97476,                0.98629,                0.94984,                0.96224,                0.97476,                0.98629,                0.94478,                0.31289,                0.23634,                0.30334,                0.92345,              0.0018302,              0.0018302,              0.0018302
                     54,                0.38147,                0.28567,                 0.3564,                0.94881,                0.95558,                0.97262,                0.98464,                0.95241,                0.95558,                0.97262,                0.98446,                0.94674,                 0.2977,                0.23085,                0.30219,                0.92385,              0.0018268,              0.0018268,              0.0018268
                     55,                0.35252,                0.29754,                0.34495,                0.93258,                0.96855,                0.97164,                0.98949,                0.95415,                0.96855,                0.97164,                0.98942,                0.96039,                0.30668,                0.21325,                0.28551,                0.91421,              0.0018235,              0.0018235,              0.0018235
                     56,                0.35359,                0.28144,                0.35149,                0.93611,                0.98081,                0.94217,                 0.9882,                0.95266,                 0.9819,                0.94322,                0.98825,                0.95134,                0.29807,                0.23599,                0.29861,                0.91634,              0.0018202,              0.0018202,              0.0018202
                     57,                0.34701,                0.30847,                0.35163,                0.93487,                 0.9406,                0.96581,                0.97749,                0.94113,                0.93656,                 0.9674,                0.97764,                0.92299,                0.29751,                 0.2903,                0.32852,                0.91671,              0.0018169,              0.0018169,              0.0018169
                     58,                0.34952,                0.29715,                0.35015,                0.93292,                0.96081,                0.97954,                0.98924,                0.96339,                0.96082,                0.97985,                0.98918,                0.95334,                0.27754,                 0.2028,                0.29005,                0.89516,              0.0018135,              0.0018135,              0.0018135
                     59,                 0.3446,                0.26146,                0.33595,                0.92577,                0.97099,                0.97581,                0.99143,                0.96729,                0.97099,                0.97581,                0.99143,                 0.9644,                0.26988,                0.19814,                0.26664,                0.89696,              0.0018102,              0.0018102,              0.0018102
