                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.01496,                 2.4074,                      0,                 1.0896,                 1.3756,                0.21576,                0.88999,                0.21251,                0.09393,                0.04215,                0.30037,                0.02543,                0.01008,                0.01491,                 9.0105,                      0,                    inf,                  2.811,              0.0017909,              0.0017909,              0.0017909
                     25,                0.01371,                 2.3654,                      0,                 1.0503,                 1.4495,                0.16785,                0.84425,                0.18763,                0.06775,                0.02001,                0.23239,                 0.0174,                 0.0075,                0.01658,                 8.5135,                      0,                    inf,                 5.3516,              0.0018613,              0.0018613,              0.0018613
                     26,                0.01476,                 2.5402,                      0,                 1.1554,                 1.4515,                0.29979,                0.17058,                0.12111,                0.04517,                0.07556,                0.11372,                0.02245,                0.01077,                0.02158,                 7.5188,                      0,                 3.9529,                  2.469,              0.0018751,              0.0018751,              0.0018751
                     27,                0.01462,                 2.3047,                      0,                 1.0413,                 1.3212,                0.34077,                0.49073,                0.30958,                0.11257,                0.03493,                0.15698,                0.01804,                0.00698,                0.01593,                 8.2591,                      0,                 13.701,                 2.8624,              0.0018751,              0.0018751,              0.0018751
                     28,                0.01511,                 2.3995,                      0,                 1.0794,                 1.5106,                 0.2521,                0.65247,                0.32897,                0.12099,                0.04708,                 0.1644,                0.02581,                0.01241,                    nan,                    nan,                      0,                    nan,                    nan,              0.0018701,              0.0018701,              0.0018701
                     29,                  0.015,                 2.3595,                      0,                 1.1606,                 1.3115,                0.15571,                0.49197,                0.11917,                0.03112,                0.00654,                 0.0581,                0.00347,                0.00147,                0.02195,                 9.3724,                      0,                    inf,                 35.976,              0.0018651,              0.0018651,              0.0018651
                     30,                0.01406,                 2.5528,                      0,                 1.0391,                 1.4678,                0.05593,                0.04203,                0.01101,                0.00392,                 0.0456,                0.03337,                0.00542,                0.00321,                0.03349,                 8.4534,                      0,                 6.0965,                  2.869,              0.0018601,              0.0018601,              0.0018601
                     31,                0.01571,                 2.6741,                      0,                 1.0798,                  1.559,                0.07666,                 0.1063,                0.02602,                0.00421,                0.09028,                0.09838,                0.02969,                0.00992,                0.03348,                 8.7623,                      0,                 4.9857,                 6.6711,              0.0018551,              0.0018551,              0.0018551
                     32,                0.01473,                 2.5311,                      0,                  1.034,                 1.4258,                0.16243,                0.21384,                0.07634,                0.01615,                0.03141,                0.13968,                0.01568,                0.00643,                0.02521,                  8.642,                      0,                 8.3355,                 5.6135,              0.0018502,              0.0018502,              0.0018502
                     33,                0.01515,                 2.8936,                      0,                 1.0868,                    1.6,                0.32049,                0.76761,                0.51322,                0.17482,                0.02606,                 0.1508,                0.01545,                0.00651,                0.01605,                 8.3854,                      0,                 9.7172,                 5.1438,              0.0018452,              0.0018452,              0.0018452
                     34,                0.01516,                 2.3218,                      0,                 1.1217,                 1.4039,                0.35864,                0.55377,                0.40646,                0.16193,                0.17623,                0.34363,                0.11381,                0.04984,                0.01593,                 5.6436,                      0,                 7.7421,                 2.6269,              0.0018402,              0.0018402,              0.0018402
                     35,                0.01433,                 2.2489,                      0,                 1.1103,                 1.3566,                0.10718,                0.10507,                0.05229,                0.01607,                0.07703,                0.07293,                0.02572,                0.01275,                0.02185,                 5.9511,                      0,                 6.3577,                 3.0097,              0.0018352,              0.0018352,              0.0018352
                     36,                0.01424,                 1.8748,                      0,                 1.1059,                 1.3459,                0.32587,                0.49444,                0.36305,                0.12058,                0.21841,                0.38195,                0.18676,                0.08255,                0.01697,                 5.4193,                      0,                 5.2306,                 3.0389,              0.0018302,              0.0018302,              0.0018302
                     37,                0.01475,                  2.516,                      0,                 1.1155,                 1.3979,                0.28423,                0.26082,                0.21034,                0.05998,                0.07072,                0.20396,                0.04193,                0.01756,                0.02088,                 7.6489,                      0,                 4.6082,                 4.0625,              0.0018252,              0.0018252,              0.0018252
                     38,                0.01435,                 1.9876,                      0,                 1.0655,                 1.2847,                0.39108,                 0.3152,                0.23799,                0.07361,                0.05673,                0.09394,                0.02312,                0.01016,                0.02078,                  7.709,                      0,                 3.1263,                 3.0509,              0.0018202,              0.0018202,              0.0018202
                     39,                0.01365,                 1.9873,                      0,                  1.076,                 1.2148,                0.34689,                0.60816,                0.41064,                0.17609,                0.10224,                0.41162,                0.07395,                0.04099,                0.01512,                 5.5399,                      0,                 5.7908,                 2.2984,              0.0018152,              0.0018152,              0.0018152
                     40,                0.01382,                 2.1005,                      0,                 1.1182,                 1.3808,                0.38306,                0.60569,                0.36842,                 0.1089,                0.17795,                0.28183,                0.08806,                0.03509,                0.01677,                 5.9078,                      0,                 2.6025,                 2.6666,              0.0018102,              0.0018102,              0.0018102
                     41,                0.01352,                 1.9644,                      0,                  1.125,                 1.2251,                0.42679,                0.50062,                0.35443,                0.09396,                0.23393,                 0.3299,                0.13167,                 0.0539,                0.02118,                 6.6063,                      0,                 1.7676,                 2.7458,              0.0018052,              0.0018052,              0.0018052
                     42,                0.01363,                 2.2135,                      0,                 1.0161,                 1.2626,                 0.4271,                0.43016,                0.32997,                0.08014,                  0.329,                0.37454,                0.24159,                0.10318,                 0.0222,                 5.1204,                      0,                 1.8875,                 2.7463,              0.0018002,              0.0018002,              0.0018002
                     43,                0.01358,                 1.8445,                      0,                0.99869,                 1.2331,                0.38678,                0.43661,                0.34656,                0.11282,                0.33601,                0.40346,                0.22733,                 0.0983,                0.02079,                 5.5557,                      0,                 1.7884,                 2.8101,              0.0017952,              0.0017952,              0.0017952
                     44,                0.01387,                 2.1546,                      0,                 1.0792,                 1.3336,                0.22242,                 0.2398,                0.10356,                0.02439,                0.19713,                0.19036,                0.07192,                0.02811,                0.02664,                 6.7652,                      0,                 2.5688,                 3.9509,              0.0017902,              0.0017902,              0.0017902
                     45,                0.01405,                 2.1455,                      0,                 1.0364,                 1.2885,                0.33864,                0.36094,                0.25501,                0.08214,                0.33829,                0.34377,                0.23858,                0.10244,                0.02088,                 5.0482,                      0,                 2.0825,                 2.7814,              0.0017852,              0.0017852,              0.0017852
                     46,                0.01379,                 1.9472,                      0,                 1.0479,                 1.2056,                0.60102,                0.50927,                0.54395,                0.23209,                0.52145,                0.46738,                0.42205,                0.19936,                0.01495,                 4.2356,                      0,                 1.6041,                 1.7276,              0.0017802,              0.0017802,              0.0017802
                     47,                0.01337,                 2.5395,                      0,                 1.0385,                 1.3046,                0.58251,                0.69161,                0.61396,                0.24352,                0.46681,                0.56613,                0.43662,                0.20901,                 0.0142,                 3.4402,                      0,                 1.6552,                 2.0892,              0.0017752,              0.0017752,              0.0017752
                     48,                0.01293,                 2.3186,                      0,                 1.0118,                 1.3286,                0.77049,                0.81088,                0.83012,                0.40814,                0.25238,                0.28876,                0.12777,                0.04035,                0.01216,                 5.3565,                      0,                 1.1397,                 1.4264,              0.0017702,              0.0017702,              0.0017702
                     49,                0.01348,                 2.5478,                      0,                 1.0202,                 1.3414,                0.70562,                0.74289,                0.74676,                0.35781,                0.56135,                0.49691,                0.42585,                0.15911,                0.01308,                 4.2554,                      0,                 1.2291,                 1.6572,              0.0017652,              0.0017652,              0.0017652
                     50,                0.01378,                 2.1535,                      0,                 1.0144,                 1.2349,                 0.5494,                0.48331,                0.44659,                0.14573,                0.49307,                0.41162,                0.37817,                0.18281,                0.01979,                 5.6909,                      0,                 1.7601,                 3.4701,              0.0017602,              0.0017602,              0.0017602
                     51,                0.01295,                 1.9853,                      0,                0.97797,                 1.1927,                0.58164,                0.56366,                0.55342,                0.20024,                0.42323,                 0.4796,                0.34086,                0.13654,                0.01782,                 5.8254,                      0,                 1.6116,                 3.2548,              0.0017552,              0.0017552,              0.0017552
                     52,                0.01307,                 2.0891,                      0,                0.95833,                 1.1357,                0.69891,                0.62264,                0.65209,                0.28034,                0.57759,                0.52534,                0.48177,                0.26334,                0.01553,                 4.6503,                      0,                 1.3091,                 2.4605,              0.0017503,              0.0017503,              0.0017503
                     53,                0.01271,                 1.7535,                      0,                0.99077,                 1.1043,                0.70538,                0.56366,                0.55687,                0.19596,                0.43181,                0.45241,                0.32131,                0.14135,                0.01926,                  5.803,                      0,                 1.3968,                 3.4586,              0.0017453,              0.0017453,              0.0017453
                     54,                0.01354,                 1.8612,                      0,                 0.9695,                 1.1996,                0.58789,                0.61364,                0.52962,                0.17686,                0.50176,                0.51661,                 0.4049,                0.19472,                0.01828,                  5.168,                      0,                 1.4753,                 3.0254,              0.0017403,              0.0017403,              0.0017403
                     55,                0.01259,                 1.6885,                      0,                0.96301,                 1.1434,                0.58551,                0.59209,                0.55524,                0.18111,                0.41342,                0.43881,                0.33196,                0.15482,                0.01781,                 4.5039,                      0,                  1.521,                 2.4131,              0.0017353,              0.0017353,              0.0017353
